bodyId_pre,type_pre,weight
611015907,SMP176,287
5813087891,SMP544,255
1598011458,LAL134,243
5813022375,IB017,236
448342846,CRE075,225
517242832,Unknown,168
635908014,SMP052,165
576574889,SMP052,157
636944318,SMP383,156
514850616,pC1e,148
452689494,SMP550,147
542376096,SMP237,135
5813053712,IB017,134
611629428,CRE077,133
422622063,SMP042,132
577330676,SMP383,125
5813055749,SMP185,125
5813132515,SMP051,123
1787636059,VES047,118
641714522,Unknown,109
5813063587,pC1d,109
642724189,Unknown,104
576825965,OA-VUMa7,103
328274638,SMP551,102
5813055949,SMP175,102
952374245,LAL114,98
610312734,CRE023,95
5813049378,SMP311,93
5813009620,SMP109,92
579700707,SMP550,87
576566223,SMP153,83
790405385,SMP386,83
5812980884,SMP339,82
5813070569,SMP013,82
391610069,SMP420,81
612034653,SMP014,80
853173648,IB111,79
924049792,Unknown,77
544158940,SMP189,76
882922539,IB047,73
5813109327,SMP386,73
1439754917,Unknown,72
5813046185,Unknown,70
488922181,SMP048,67
735488299,LAL022,67
329566197,SMP549,66
613394707,SMP555,66
727929407,SMP284,65
515588291,SMP520,63
611037750,SMP122,61
5813022160,SMP567,61
298603730,SMP179,60
422056521,SMP566,60
579536041,SMP556,60
543049093,SMP314,59
297580589,SMP548,58
833043564,Unknown,58
392757094,SMP551,57
730006122,LAL022,56
392389970,SMP153,54
1294102958,Unknown,54
641709938,SMP112,53
704453006,SMP322,53
481747302,SMP516,51
514816333,SMP566,51
635890732,SMP573,51
644421171,Unknown,51
674108802,SMP112,51
1049247113,LAL160,50
5813071370,Unknown,50
422056477,SMP566,49
675127915,SMP006,49
736860990,OA-VUMa6,49
297921608,SMP333,48
611357256,Unknown,48
5813027737,CRE043_c,48
576082257,SMP314,47
739213376,SIP033,47
761040902,CRE002,47
1134140939,CL167,47
328939480,SMP559,46
421041565,SMP157,46
451049385,LHPV10a1,46
488572496,SMP123,46
516780722,SMP003,46
642509080,SMP007,46
983063787,Unknown,46
673090000,SMP278,45
424193116,SMP179,44
509945954,Unknown,44
640691030,SMP422,44
760397222,SIP033,44
550988122,SMP471,43
575197482,SMP389,43
643402037,SMP357,43
675822559,AVLP316,43
5813020800,SMP566,43
453130054,SMP516,42
736433303,CL236,42
798939240,SMP556,42
508689623,CRE074,41
669649730,LAL022,41
701742479,SMP316_b,41
825489724,CRE017,41
549269622,SMP564,40
675809900,SMP006,40
800233950,AVLP316,40
1226206190,PS199,40
1785931916,VES075,40
5812981228,SMP319,40
5813058050,PPL102,40
699687305,SMP512,39
486544396,PAL02,38
894020730,MBON31,38
451662040,SMP389,37
513344531,SMP495,37
984536209,LAL100,37
5812981237,SMP240,37
5813019560,SMP562,37
706508078,SMP112,36
1325138116,CRE002,36
1415829386,Unknown,36
5812981517,SMP317,36
582696254,SMP005,35
733182574,SMP162,35
1144761556,LAL129,35
1362674294,VES067,35
1754213254,Unknown,35
416876055,SLP278,34
612742224,CRE035,34
674532291,SMP051,34
764817903,SMP111,34
1014107332,Unknown,34
5813069630,NPFL1-I,34
329566174,OA-VPM3,33
607273128,SMP315,33
639008013,SMP403,33
673435566,Unknown,33
674108632,AVLP075,33
887640858,Unknown,33
925241334,LAL155,33
1465630554,LAL161,33
5813014032,SMP040,33
455500416,PAL02,32
608261812,SMP542,32
983426636,FS1A,32
1048250312,LAL155,32
1325138101,Unknown,32
1914460817,VES079,32
5813083779,CRE022,32
610342229,Unknown,31
702760942,CL157,31
765504308,SMP111,31
790741191,SMP327,31
827893839,Unknown,31
829636950,CRE046,31
1044918145,FS1A,31
1138026774,FS1A,31
1263404948,Unknown,31
5813013342,pC1d,31
328244591,SMP564,30
483797945,SMP007,30
544037996,SMP313,30
612746557,SMP141,30
705217250,Unknown,30
730398148,SMP520,30
951808062,FS1A,30
5812981381,PPL102,30
516163285,SMP464,29
614081109,SMP005,29
1230095228,FS1A,29
1262360335,LAL014,29
326884331,SMP362,28
327587644,SMP162,28
516551382,Unknown,28
547158593,SMP003,28
548722538,SMP237,28
670370239,Unknown,28
702152113,AVLP075,28
1049946735,Unknown,28
1073069488,CL319,28
545501062,SMP464,27
546641039,SMP052,27
635895000,SMP271,27
673772290,Unknown,27
859265651,PPL107,27
2282485535,Unknown,27
5813022923,FS1A,27
296203325,SMP357,26
297217528,SMP563,26
604709727,LHPV10b1,26
796393522,SMP316_a,26
983093876,FS1A,26
1106888382,FS1A,26
1345061120,FS1A,26
1419909152,LAL011,26
1752888162,Unknown,26
5813016900,FS1A,26
514613165,Unknown,25
766186252,SMP385,25
790417660,CL166,25
885257938,FS1A,25
915273417,FS1A,25
983771898,Unknown,25
1014802430,LAL175,25
1223274640,IB072,25
1449606569,LAL069,25
296203434,SMP357,24
579575594,LHPV5e3,24
604195247,SMP463,24
609656444,SMP143,24
672598344,Unknown,24
732431788,SMP312,24
826844892,LAL031,24
983767417,LAL175,24
1045141938,FS1A,24
1070141508,PS202,24
1748092323,Unknown,24
5813022814,aIPg2,24
387568523,LHPD5d1,23
667266529,CRE108,23
858928511,Unknown,23
915623395,FC2B,23
983430664,FS1A,23
1112443807,LAL129,23
1291374677,FS1A,23
5813026705,SMP589,23
5813060768,SMP600,23
5813111272,CL236,23
423096449,SMP007,22
515869245,Unknown,22
547240545,SMP123,22
548708363,Unknown,22
603068370,SMP284,22
608369629,Unknown,22
670357457,SMP393,22
733458828,SMP163,22
890425079,FS1A,22
894702888,LAL013,22
912583959,FC2B,22
1014465452,FS1A,22
1039063931,FS1A,22
1138587910,LAL141,22
2065244716,Unknown,22
296531366,SMP362,21
356429209,LHPD2c1,21
418503161,SMP245,21
545510060,PLP122,21
607597135,SMP149,21
675887521,Unknown,21
730398229,SMP312,21
800937779,LAL031,21
925811326,Unknown,21
1195891557,FS1A,21
1291142212,FC2B,21
1407139453,Unknown,21
1910070652,Unknown,21
5812982324,SMP271,21
5813083780,SMP385,21
5813130366,FS1A,21
574732075,SMP580,20
643389529,SMP392,20
644761952,LHPD2c5,20
671756253,Unknown,20
673085574,SMP391,20
736109737,SMP568_c,20
796193592,CRE016,20
862697175,SMP568_c,20
915964748,FS1A,20
977352235,FC2B,20
1134849078,FC2B,20
1165305889,FS1A,20
1511016097,IB074,20
2283504379,Unknown,20
298241038,SMP408_d,19
362299997,SMP032,19
420688062,Unknown,19
542691005,SMP319,19
612712334,SMP030,19
703857506,Unknown,19
953039761,Unknown,19
977598865,CL318,19
1014223948,FS1A,19
1014465588,FS1A,19
1014474192,FS1A,19
1071769518,FS1A,19
1480452227,Unknown,19
1512029563,IB073,19
1570111396,FC2B,19
1666561406,LAL015,19
1722185618,Unknown,19
2096966671,Unknown,19
2159718465,Unknown,19
5812981791,PPL108,19
5813011483,SMP149,19
5813012136,SLP401,19
5813079417,CL251,19
5813133463,CRE043_c,19
457520516,Unknown,18
488581156,Unknown,18
550068399,Unknown,18
668285416,SMP151,18
674781866,SMP578,18
698314499,SMP331,18
795826923,CRE017,18
821728921,CL167,18
977339225,FC2B,18
